Record_ID,Source_Record_ID,Study_ID,Experiment_ID,Treatment_ID,Stage_Group_std,Initial_BW_kg,DMI_kg_d,N_Intake_g_d,Fecal_N_g_d,Urinary_N_g_d,Retained_N_g_d,Diet_CP_pct_DM,Diet_EE_pct_DM,Diet_NDF_pct_DM,Diet_ADF_pct_DM,Diet_Starch_pct_DM,Diet_GE_MJ_kg_DM,Diet_Ash_pct_DM,Diet_CF_pct_DM,Diet_DE_MJ_kg_DM,Diet_ME_MJ_kg_DM,Analysis_Split,Split_Resolution_Source,Original_P3_Eligible,Total_N_Excretion_g_d,N_to_DMI_g_kg,DMI_per_BW,N_Intake_per_BW,CP_to_GE_ratio,CP_to_NDF_ratio,SID_Lys_pct_DM,SID_Met_pct_DM,SID_Thr_pct_DM,SID_Trp_pct_DM,Lys_to_N_ratio,Met_to_Lys_ratio,Thr_to_Lys_ratio,Trp_to_Lys_ratio,Analysis_N_Intake_g_d,Analysis_Fecal_N_g_d,Analysis_Urinary_N_g_d,Analysis_Retained_N_g_d,Analysis_Total_N_Excretion_g_d,Analysis_Diet_CP_pct_DM,Analysis_Diet_EE_pct_DM,Analysis_Diet_NDF_pct_DM,Analysis_Diet_ADF_pct_DM,Analysis_Diet_Starch_pct_DM,Analysis_Diet_GE_MJ_kg_DM,Analysis_Daily_NFlow_Eligible,Analysis_P2_Eligible,Analysis_RAW_P2_Eligible,Analysis_P3_Eligible,Formula_Available,Formula_Total_pct,Formula_Complete_95_105,QC_Status,Issue_Code,Correction_Count,Enhanced_Formula_Quality,Enhanced_Formula_Direct,RN_Source,BW_Source_Class,Model_906_Eligible,Model_906_Disposition,Model_906_Exclusion_Code,Model_906_Exclusion_Reason,Analysis_Scope_Version
V44_b81ce652379a,405,Ball2013_AJAS,Balance,Lys6.9_CP168,finishing,39.1,1.6,47.7,9.6,12.3,25.8,18.63,4.839365272165253,15.59274819222028,5.24746799609802,41.82406168419108,18.6,,,,,confirmation,Historical Study_ID,1,21.9,29.8125,0.0409207161125319,1.2199488491048591,1.0016129032258063,1.1947861769033823,0.8561442486410368,0.2487515558417896,0.5373558086428609,0.1800676951072877,0.2872196217931551,0.2905486502264478,0.6276463452225595,0.2103240141986707,47.7,9.6,12.3,25.8,21.9,18.63,4.839365272165253,15.59274819222028,5.24746799609802,41.82406168419108,18.6,1,1,1,1,1,96.72,1,INCLUDED,,0,EXISTING_REVIEWER_FORMULA,1,MASS_BALANCE_NI_MINUS_FN_MINUS_UN,REPORTED_MEAN_BW_USED,1,INCLUDED_IN_906_MAIN,,,AIA_906_V1_20260806
V44_63c46b5844c2,406,Ball2013_AJAS,Balance,Lys6.9_CP182,finishing,39.1,1.565,50.0,9.2,13.2,27.6,19.97,4.761068111610021,15.45713307535115,5.326959801347346,39.75982438649915,18.6,,,,,confirmation,Historical Study_ID,1,22.4,31.94888178913738,0.0400255754475703,1.278772378516624,1.0736559139784945,1.2919601521607738,0.831122841830652,0.2444330177755074,0.5386249761769372,0.1982321930805594,0.2601160621653267,0.2940997473214827,0.6480690327202996,0.2385113043505436,50.0,9.2,13.2,27.6,22.4,19.97,4.761068111610021,15.45713307535115,5.326959801347346,39.75982438649915,18.6,1,1,1,1,1,96.78,1,INCLUDED,,0,EXISTING_REVIEWER_FORMULA,1,MASS_BALANCE_NI_MINUS_FN_MINUS_UN,REPORTED_MEAN_BW_USED,1,INCLUDED_IN_906_MAIN,,,AIA_906_V1_20260806
V44_ce834e988f96,407,Ball2013_AJAS,Balance,Lys6.9_CP193,finishing,39.1,1.552,53.1,8.5,17.2,27.4,21.38,3.506482796033707,15.04382629443994,5.266479376238214,38.61286968184207,18.6,,,,,confirmation,Historical Study_ID,1,25.7,34.2139175257732,0.039693094629156,1.358056265984655,1.1494623655913978,1.4211809935549342,0.8339256411698819,0.2661299054432116,0.5960885671335374,0.2201948336581396,0.2437808820070983,0.3191290593605783,0.7147982238527981,0.2640461244832774,53.1,8.5,17.2,27.4,25.7,21.38,3.506482796033707,15.04382629443994,5.266479376238214,38.61286968184207,18.6,1,1,1,1,1,96.73,1,INCLUDED,,0,EXISTING_REVIEWER_FORMULA,1,MASS_BALANCE_NI_MINUS_FN_MINUS_UN,REPORTED_MEAN_BW_USED,1,INCLUDED_IN_906_MAIN,,,AIA_906_V1_20260806
V44_7233acdce6b4,408,Ball2013_AJAS,Balance,Lys8.2_CP144,finishing,39.1,1.493,37.7,7.1,6.4,24.200000000000003,15.78,7.575883719628729,13.38567180157222,4.827470586638165,45.96805309670767,18.9,,,,,confirmation,Historical Study_ID,1,13.5,25.25117213663764,0.0381841432225063,0.9641943734015346,0.834920634920635,1.1788724715442789,0.9932024566868752,0.3408711563705356,0.6154444461067642,0.2055487422612092,0.3933786663050044,0.3432041011130939,0.619656588607084,0.2069555314501322,37.7,7.1,6.4,24.200000000000003,13.5,15.78,7.575883719628729,13.38567180157222,4.827470586638165,45.96805309670767,18.9,1,1,1,1,1,96.17,1,INCLUDED,,0,EXISTING_REVIEWER_FORMULA,1,MASS_BALANCE_NI_MINUS_FN_MINUS_UN,REPORTED_MEAN_BW_USED,1,INCLUDED_IN_906_MAIN,,,AIA_906_V1_20260806
V44_d5aee7497897,409,Ball2013_AJAS,Balance,Lys8.2_CP155,finishing,39.1,1.631,45.2,9.8,8.5,26.90000000000001,17.32,5.812477520498342,16.05465980382635,5.298883480625425,42.93062068008712,18.7,,,,,confirmation,Historical Study_ID,1,18.3,27.713059472716125,0.0417135549872122,1.1560102301790285,0.9262032085561498,1.0788145131466491,0.98134744155718,0.3118637062112404,0.6141812733251016,0.1889558700869879,0.3541236437489824,0.3177913275204366,0.6258550716253284,0.1925473711809519,45.2,9.8,8.5,26.90000000000001,18.3,17.32,5.812477520498342,16.05465980382635,5.298883480625425,42.93062068008712,18.7,1,1,1,1,1,96.77,1,INCLUDED,,0,EXISTING_REVIEWER_FORMULA,1,MASS_BALANCE_NI_MINUS_FN_MINUS_UN,REPORTED_MEAN_BW_USED,1,INCLUDED_IN_906_MAIN,,,AIA_906_V1_20260806
V44_a070e5fa802d,410,Ball2013_AJAS,Balance,Lys8.2_CP162,finishing,39.1,1.551,46.5,9.0,9.7,27.8,18.74,5.351173975831572,15.7911540137278,5.317897979589432,41.27615039480519,18.7,,,,,confirmation,Historical Study_ID,1,18.7,29.98065764023211,0.0396675191815856,1.1892583120204605,1.0021390374331551,1.1867403727244168,0.96417979953712,0.2874419298136696,0.6045634075557684,0.19787831846097,0.3215647677218249,0.2981206720485782,0.6270235155787386,0.2052296869898817,46.5,9.0,9.7,27.8,18.7,18.74,5.351173975831572,15.7911540137278,5.317897979589432,41.27615039480519,18.7,1,1,1,1,1,96.78,1,INCLUDED,,0,EXISTING_REVIEWER_FORMULA,1,MASS_BALANCE_NI_MINUS_FN_MINUS_UN,REPORTED_MEAN_BW_USED,1,INCLUDED_IN_906_MAIN,,,AIA_906_V1_20260806
V44_586e94d21e03,411,Ball2013_AJAS,Balance,Lys8.2_CP175,finishing,39.1,1.596,52.2,9.5,12.9,29.800000000000004,20.44,4.910828711206808,15.52717490351987,5.336489047804893,39.60532669892599,18.7,,,,,confirmation,Historical Study_ID,1,22.4,32.70676691729323,0.0408184143222506,1.3350383631713556,1.0930481283422462,1.3164017361179103,0.9461278907367514,0.284540042477039,0.594387416732824,0.195936548478321,0.2893003579796818,0.3007416283389206,0.6282315768854182,0.2070930900533382,52.2,9.5,12.9,29.800000000000004,22.4,20.44,4.910828711206808,15.52717490351987,5.336489047804893,39.60532669892599,18.7,1,1,1,1,1,96.78,1,INCLUDED,,0,EXISTING_REVIEWER_FORMULA,1,MASS_BALANCE_NI_MINUS_FN_MINUS_UN,REPORTED_MEAN_BW_USED,1,INCLUDED_IN_906_MAIN,,,AIA_906_V1_20260806
V44_c1418da5d27a,412,Ball2013_AJAS,Balance,Lys8.2_CP188,finishing,39.1,1.552,53.3,9.5,13.7,30.1,21.46,4.565666095410427,15.19742622249595,5.338289871641357,37.96966230205848,18.6,,,,,confirmation,Historical Study_ID,1,23.2,34.342783505154635,0.039693094629156,1.363171355498721,1.153763440860215,1.4120812093980684,0.9295529112886464,0.2709534983041884,0.58511040648886,0.2147624034747263,0.2707225394013998,0.2914879777295985,0.6294535785786707,0.2310383850845021,53.3,9.5,13.7,30.1,23.2,21.46,4.565666095410427,15.19742622249595,5.338289871641357,37.96966230205848,18.6,1,1,1,1,1,96.78,1,INCLUDED,,0,EXISTING_REVIEWER_FORMULA,1,MASS_BALANCE_NI_MINUS_FN_MINUS_UN,REPORTED_MEAN_BW_USED,1,INCLUDED_IN_906_MAIN,,,AIA_906_V1_20260806
V44_b5b742f20bbe,413,Litvak2013_JAS,MetCysRatio_ISS,MMC042_ISS1,growing,17.3,0.8,14.7,1.33,6.42,6.949999999999999,11.9,4.09834636522684,3.973832147049225,3.813273272420973,46.36940299263903,17.09302450752823,,,,,confirmation,Historical Study_ID,1,7.75,18.375,0.0462427745664739,0.8497109826589595,0.6961904252087697,2.994590500969288,0.7010829615003336,0.1139562558156979,0.5085669410898949,0.1628395404610392,0.3682158411241247,0.1625431825811726,0.7254019410221438,0.2322685750521719,14.7,1.33,6.42,6.949999999999999,7.75,11.9,4.09834636522684,3.973832147049225,3.813273272420973,46.36940299263903,17.09302450752823,1,1,1,1,1,93.89,0,INCLUDED,,0,EXISTING_REVIEWER_FORMULA,1,MASS_BALANCE_NI_MINUS_FN_MINUS_UN,DIRECT_INITIAL_BW_EXISTING,1,INCLUDED_IN_906_MAIN,,,AIA_906_V1_20260806
V44_5ce006c09672,414,Litvak2013_JAS,MetCysRatio_ISS,MMC042_ISS2,growing,17.3,0.8,13.0,1.13,4.61,7.260000000000001,11.9,4.09834636522684,3.973832147049225,3.813273272420973,46.36940299263903,17.09302450752823,,,,,confirmation,Historical Study_ID,1,5.74,16.25,0.0462427745664739,0.7514450867052023,0.6961904252087697,2.994590500969288,0.7010829615003336,0.1139562558156979,0.5085669410898949,0.1628395404610392,0.3682158411241247,0.1625431825811726,0.7254019410221438,0.2322685750521719,13.0,1.13,4.61,7.260000000000001,5.74,11.9,4.09834636522684,3.973832147049225,3.813273272420973,46.36940299263903,17.09302450752823,1,1,1,1,1,93.89,0,INCLUDED,,0,EXISTING_REVIEWER_FORMULA,1,MASS_BALANCE_NI_MINUS_FN_MINUS_UN,DIRECT_INITIAL_BW_EXISTING,1,INCLUDED_IN_906_MAIN,,,AIA_906_V1_20260806
