Layer,Model,Primary_NRMSE,FN_RMSE,FN_R2,FN_MAE,FN_Bias,UN_RMSE,UN_R2,UN_MAE,UN_Bias,FN_SD,UN_SD
P0,SVR,0.5450009288868579,1.9772448564209049,0.680349884186626,1.4433443864117512,-0.1380137319309692,4.815208180491066,0.723916499125885,3.536535625542099,-0.5166793557214331,3.499821678938598,9.171022037334527
P0,MLR,0.5527408190918115,1.947462349191761,0.6899069037667446,1.4272768169505974,-0.015578642737108,5.035216429708556,0.6981114771276009,3.843769738385944,-0.0240308186925231,,
P0,ElasticNet,0.5539402358409706,1.952680176487357,0.6882430155905401,1.4325449433096735,-0.0197791771309453,5.043543256789553,0.6971121746750282,3.849550326036237,-0.0232790236462601,3.499821678938598,9.171022037334527
P0,ExtraTrees,0.5696229758788518,2.035122071510368,0.6613626273496289,1.5218558625333158,-0.0361418333961524,5.115163920272531,0.6884487999631077,3.7999666449642167,-0.030596095815984,,
P0,RandomForest,0.5860616973070476,2.081819171284248,0.6456438582448039,1.5547180347981893,-0.0587354782901345,5.294317401357032,0.6662430902264869,3.89623439002797,-0.0904821800562795,,
P0,XGBoost,0.6022535277230643,2.146846247707509,0.6231610006200753,1.5832976535163217,-0.0542846578841057,5.420910058050824,0.6500913163537374,3.9183691736374415,-0.0396716792898233,,
P1,SVR,0.5223706466568486,1.9247639852904024,0.6970932683412034,1.4005609655693143,-0.1167780654473503,4.537644760344181,0.7548277552170111,3.340982765808824,-0.430123066071891,3.499821678938598,9.171022037334527
P1,MLR,0.5445832614828279,2.042496176244041,0.6589041295559495,1.5171879705679543,-0.0007606597934487,4.636561082984072,0.7440222081393117,3.5123571760908208,-0.0194221049940191,,
P1,ElasticNet,0.5484045142225732,2.0541010302910903,0.6550171083989151,1.5135722822727615,0.0257171040618731,4.676241013474756,0.739622117793573,3.532317408752892,-0.0233898554612469,3.499821678938598,9.171022037334527
P1,RandomForest,0.5492958896193546,2.029836858632545,0.6631192262390628,1.478359703490625,-0.0873278867133914,4.756173114886447,0.7306446385860255,3.526111527370762,-0.0744399240386004,,
P1,ExtraTrees,0.5496446316544362,2.0466447418466305,0.657517105489592,1.5012496500814718,-0.0939719383682758,4.718525950580155,0.7348918904087881,3.518867197714261,-0.0729227473575824,,
P1,XGBoost,0.5715427048508711,2.1256842512655423,0.63055357607201,1.5348973058127378,-0.1514283955304098,4.913064226856488,0.7125811812031111,3.629592995974399,-0.2164068747940783,,
P2,SVR,0.5199903940475157,1.814163373067519,0.7309043072712151,1.3334161211675786,-0.0924364416014843,4.783806728694274,0.7275056086456344,3.514619308071285,-0.2145642730074161,3.499821678938598,9.171022037334527
P2,ExtraTrees,0.520339751830695,1.8575290564854925,0.7178856424348652,1.33965689928649,-0.0352359687681647,4.676578121099936,0.7395845754457315,3.4485460247323294,0.0897013671425468,,
P2,RandomForest,0.5249773418277739,1.832677658494378,0.7253838157839816,1.3342716520320483,-0.0215894620752836,4.826762238690393,0.7225899887153733,3.53162687070782,0.0261704485224474,,
P2,MLR,0.5353746341506627,1.9122053598052065,0.7010331610575237,1.393206258814386,0.0054134629277476,4.8090734147995775,0.7246195335952039,3.754421637729147,-0.0236246224237414,,
P2,ElasticNet,0.5371853695266688,1.9475393697996464,0.6898823754044161,1.4165382290350814,-0.0122993825068787,4.749695861417073,0.7313777889142492,3.5991249222859154,-0.1117344628672523,3.499821678938598,9.171022037334527
P2,XGBoost,0.5441457933518556,1.9040328864329832,0.7035831773261615,1.3904205345603444,-0.066528804671854,4.991369761226804,0.703346276110549,3.7003548865426215,0.0696761923602036,,
P3,SVR,0.5187907224090595,1.812741037400274,0.731326093278157,1.3259380494701454,-0.0534062713483773,4.765529423304758,0.7295838484901918,3.542837533256262,-0.0908900136237897,3.499821678938598,9.171022037334527
P3,ExtraTrees,0.5201214615731697,1.853699338879314,0.7190477287608912,1.3309216645287731,-0.0620056826370123,4.682609721318826,0.7389124024989897,3.4542284785865545,0.1098434995450646,,
P3,RandomForest,0.5297338778640084,1.8627318732535685,0.7163030616449675,1.346457290570137,-0.0292671343407757,4.83525200101935,0.7216132609745092,3.542865453156365,0.0886225114407772,,
P3,XGBoost,0.5382997090889032,1.90715237458851,0.7026111077328089,1.3971958665036808,-0.0481583685022594,4.875966239644416,0.7169053271579359,3.620011840234167,0.1126649962676576,,
P3,ElasticNet,0.5416841738560059,1.954870296943442,0.687543291936715,1.433339290582194,-0.0246646879064778,4.813002980147963,0.7241693147877708,3.6345978290986056,-0.050556995700062,3.499821678938598,9.171022037334527
P3,MLR,0.5441867206751063,1.9119425440789293,0.701115336109394,1.4070622647755564,-0.0437847109740004,4.971393783256493,0.7057160024210678,3.8530608866296654,0.1456938963221816,,
