Layer,Model,Primary_NRMSE,FN_RMSE,FN_R2,FN_MAE,FN_Bias,UN_RMSE,UN_R2,UN_MAE,UN_Bias,Primary_673ref_NRMSE,Final673_FN_params,Final673_UN_params,FN_SD,UN_SD
P2,SVR,0.6001271774753778,2.092852641641861,0.5549399178191474,1.4794635326450425,0.0689276915637471,4.945515361077134,0.7130146958497798,3.6487066460409103,-0.0943283537151258,,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": 0.01}","{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": 0.01}",3.1438607142439,9.251575432108591
P2,ElasticNet,0.6099103768015821,2.0489856596354614,0.5734016411779719,1.5002939308900616,0.1710910618542071,5.255624646825295,0.6758953745635328,3.938206679347516,0.7903719664163897,,"{""alpha"": 0.01, ""l1_ratio"": 0.9}","{""alpha"": 0.05, ""l1_ratio"": 0.9}",3.1438607142439,9.251575432108591
P2,MLR,0.6125249086748505,2.0880299114550605,0.55698873060544,1.5641278725792682,0.1470490641920551,5.189104509361504,0.6840478006225476,3.833485394348864,0.6672502312899206,0.5812128315207845,,,,
P2,RandomForest,0.625278621824551,2.1801716097659662,0.5170271671232809,1.4999996155201736,0.2940741262038686,5.153939011382484,0.6883155771621212,3.726077361362528,0.526030346867143,0.5924593948124042,,,,
P2,ExtraTrees,0.6334829521769171,2.2059597372965856,0.5055339189438202,1.5401211956327387,0.2285155702862032,5.229857131011994,0.6790656535997222,3.743699794498205,0.5339896832225142,0.6002826225016575,,,,
P2,XGBoost,0.6535083062489218,2.2217781701587227,0.4984170871113025,1.5514003766360271,0.1460891648278899,5.553839689286485,0.638071129646274,3.8938369172195006,0.6373784336884895,0.6202058972424582,,,,
P3,SVR,0.5815967313409012,1.991278632576212,0.5970924462168573,1.4603567436413594,0.0444353244322175,4.901549967551065,0.7180945861259773,3.563392071908357,0.1521314468759985,,"{""C"": 10.0, ""epsilon"": 0.5, ""gamma"": 0.01}","{""C"": 10.0, ""epsilon"": 1.0, ""gamma"": 0.01}",3.1438607142439,9.251575432108591
P3,ElasticNet,0.6057637338122277,2.047601417552209,0.5739778442662006,1.511149649763554,0.115703375387491,5.182972155296223,0.6847941281972088,3.8716254217596378,0.7526351370629012,,"{""alpha"": 0.01, ""l1_ratio"": 0.9}","{""alpha"": 0.1, ""l1_ratio"": 0.9}",3.1438607142439,9.251575432108591
P3,MLR,0.6128335739289482,2.0814940179119024,0.5597577932631981,1.5544472154582192,0.0779884341537633,5.214049246846452,0.6810028482575637,3.858414341188149,0.7747200785209702,0.5816390607473144,,,,
P3,ExtraTrees,0.6179897380731989,2.1333569036953923,0.5375461730402288,1.5033804907923969,0.2398352383437133,5.15683536397575,0.6879651649269568,3.751982667950137,0.6735766789944545,0.5859291467472061,,,,
P3,RandomForest,0.6216032698723287,2.1925603460981984,0.511522624880657,1.5005198045696575,0.2469903507290696,5.049476547400258,0.7008222672399615,3.6441807766697663,0.4738091693410897,0.5885340578726698,,,,
P3,XGBoost,0.6478588420665206,2.1482193604232607,0.5310801740882849,1.5298176461340092,0.1653641752274423,5.66577150459336,0.6233355269983603,4.028171542100738,0.5337211425176241,0.6157994327013245,,,,
