Model,Comparison,n_records,n_studies,Replicates,Mean_delta,CI2.5,CI97.5,P_P3_better
MLR,P3-P2,673,122,10000,0.008925357596026917,-0.0021913332369626337,0.02240472344162879,0.0629
ElasticNet,P3-P2,673,122,10000,0.004454058414274561,-0.005815283853324881,0.01499617712795679,0.1965
SVR,P3-P2,673,122,10000,-0.0011321854518953306,-0.013392517981874566,0.011312519117881852,0.5729
RandomForest,P3-P2,673,122,10000,0.004781568635433244,-0.002715214503388333,0.012388558552023773,0.0998
ExtraTrees,P3-P2,673,122,10000,-0.00015436971636890586,-0.006558157631305764,0.006703903022774461,0.527
XGBoost,P3-P2,673,122,10000,-0.005770432590795314,-0.018188917417731477,0.0065301483532965166,0.829
