Role,Sampling,Method,Budget,n_realizations,Primary_mean,Primary_SD,Primary_q025,Primary_median,Primary_q975,FN_RMSE_mean,FN_R2_mean,UN_RMSE_mean,UN_R2_mean
formal_updater,RSGS,Affine,3,504,0.6348752685060322,0.053247274395483074,0.5740760747251263,0.6233900145315436,0.7548259041504947,1.6407734772902671,0.7298357636722128,3.277719129084808,0.35872096597558556
formal_updater,RSGS,Affine,6,504,0.6143146505894934,0.039325437013581134,0.5652392477369121,0.6083505526904023,0.6973905475637011,1.6255120635777687,0.7391530101400515,3.1207948499082687,0.41170398848336875
formal_updater,RSGS,Affine,9,504,0.6217079347964778,0.04013698030274483,0.5771418628978028,0.6064705247017907,0.7067240404271973,1.6920450231459019,0.7229530978265665,3.0953876630293813,0.4522364196688117
formal_updater,RSGS,Affine,12,504,0.6171410640536534,0.03677371998970402,0.5644570910492099,0.6112216628321014,0.7110011801609549,1.5402314619300415,0.7636234617282593,3.259503032765862,0.37034542468659143
formal_updater,RSGS,TargetWeightedFullRF,3,504,0.8592826477046374,0.02711881800305697,0.8101996625926619,0.8610377565276052,0.9005087418405002,1.712335141398421,0.707310002131969,5.117821711956281,-0.5493606074719452
formal_updater,RSGS,TargetWeightedFullRF,6,504,0.822342539439584,0.04686252291015745,0.7490425541880583,0.8157978632968933,0.9211325549797368,1.7356979032792885,0.7032431862242435,4.767808212128278,-0.37097246510890497
formal_updater,RSGS,TargetWeightedFullRF,9,504,0.781411056478695,0.026346461567509888,0.7290771555681319,0.7824336922490482,0.8312294841075939,1.6093008077657855,0.751082422360502,4.584121959282368,-0.2000710683956832
formal_updater,RSGS,TargetWeightedFullRF,12,504,0.7777560423302932,0.048536088711678416,0.7015734740954899,0.7705112903987705,0.8818910213086194,1.4019615347758712,0.8039837219753668,4.830539781527417,-0.37997111735506706
formal_updater,RSGS,CG-HPP,3,504,0.6266879536212611,0.05019673269918535,0.566904324210467,0.614959819305708,0.7339040900287004,1.6652183011268928,0.72164525053478,3.1743147430464624,0.39899949122843864
formal_updater,RSGS,CG-HPP,6,504,0.5488954198963575,0.05302708888150075,0.46633703683444017,0.5499121366654343,0.6503771389476886,1.656524411866928,0.7286563830246008,2.5148279825385815,0.612469936909513
formal_updater,RSGS,CG-HPP,9,504,0.5343905188064416,0.053862942361989,0.44190672663934366,0.5267261111271884,0.642820186277186,1.5065081070420772,0.7782159199768502,2.5907954073335886,0.6134795659955865
formal_updater,RSGS,CG-HPP,12,504,0.5189914829296485,0.05103883965791512,0.4284930989280857,0.5180545646266164,0.6217782445828729,1.2380481619388612,0.8466857310758098,2.817829693216939,0.5239476133006495
formal_updater,RSGS,Mean,3,504,1.040079271688566,0.12849816273897166,0.8349709741907642,1.039189481832115,1.3019964573648857,1.6534320205292359,0.724528115101191,6.756576073773043,-1.788148213905206
formal_updater,RSGS,Mean,6,504,0.8199509166952038,0.043582658661346786,0.7686042442891395,0.8083685967025719,0.9208012909389782,1.5431033793972573,0.7655630592635335,5.00535949561862,-0.5118514313091305
formal_updater,RSGS,Mean,9,504,0.8034045977487121,0.014589244608366955,0.7817577501882634,0.8018186989406964,0.8386643442083084,1.581380617435357,0.759371866687816,4.811296081234086,-0.32013397120397713
formal_updater,RSGS,Mean,12,504,0.8077461943249147,0.01281660200417624,0.792202294701507,0.8047682556040219,0.8382705968968205,1.5120111251088262,0.7722965393730848,4.941746437848854,-0.4349214001751273
formal_updater,P2-PAM,Affine,3,504,0.6663161459819046,0.05716028220107494,0.5796685988992435,0.6509916897595653,0.8066063378193307,1.6801141476687476,0.7209747222500051,3.496231242172276,0.32053059481268764
formal_updater,P2-PAM,Affine,6,504,0.6063451615707256,0.02944516067649374,0.5695288917097426,0.5985846216073918,0.6823021511467602,1.548650588030962,0.7666945234801595,3.1550769301804094,0.46642502419820014
formal_updater,P2-PAM,Affine,9,504,0.6001823352465071,0.024428056689777572,0.5721539844994588,0.5940198598443933,0.6641419439221553,1.5386555927330459,0.7747667948695517,3.1153071214576706,0.48458296683419316
formal_updater,P2-PAM,Affine,12,504,0.5945897415384139,0.020118312159488044,0.5672244858873747,0.5904384990336153,0.6443784460880739,1.5571362236498447,0.771949420367096,3.042283598160707,0.5142706044602322
formal_updater,P2-PAM,TargetWeightedFullRF,3,504,0.9066974245390358,0.01881948744534682,0.8701013001575157,0.9082331709725509,0.9359008980236553,1.6901844852445023,0.7190922674315096,5.5565786772468755,-0.6807346874992485
formal_updater,P2-PAM,TargetWeightedFullRF,6,504,0.8283853270106445,0.03168378924063767,0.7592524843398506,0.8296936926382408,0.8820127322549579,1.6711320711985511,0.7282831025454829,4.906495699117835,-0.2866438802331139
formal_updater,P2-PAM,TargetWeightedFullRF,9,504,0.8352806806172043,0.03090225862463978,0.7793167650993105,0.8342354444985615,0.8936595002962313,1.6487923020601492,0.7412916554650614,4.995931962829807,-0.3228933551623488
