Evaluation_dataset,Evaluation_unit,Model,FN_R2,FN_RMSE_g_d,FN_RMSE_pct_observed_mean,UN_R2,UN_RMSE_g_d,UN_RMSE_pct_observed_mean,Composite_NRMSE,n
Held-out historical confirmation,Historical record,MLR,0.55698873060544,2.0880299114550605,31.593023047178104,0.6840478006225476,5.189104509361504,42.81966763871466,0.6125249086748505,233
Held-out historical confirmation,Historical record,RF,0.5155752372904521,2.183446204658824,33.03672322298743,0.6808948335318901,5.214931929385543,43.03279141361641,0.6290957668663566,233
Held-out historical confirmation,Historical record,TabM,0.5517969673291422,2.100229353878772,31.77760721598748,0.6983346280347204,5.070426088334193,41.84035212577615,0.6080511521396819,233
Held-out historical confirmation,Historical record,MLR+RF,0.546973726460119,2.111499698183091,31.948133627224497,0.698284738812345,5.070845342879887,41.84381174781117,0.6098662476518748,233
546 target before updating,Source-specific-diet mean,MLR,0.4905225043009282,2.284140555961963,50.87717725623898,-0.7193836582676882,5.625136965258539,81.80527354601274,1.0069361778518438,91
546 target before updating,Source-specific-diet mean,RF,0.7299465360023865,1.6629730014583106,37.04122845973546,-1.0795839909062073,6.186356406660747,89.96697879991102,0.9754671899103392,91
546 target before updating,Source-specific-diet mean,TabM,0.6390974441932145,1.9224510968935795,42.82086974368073,-0.8967674324401238,5.908180381382179,85.92151893246228,0.9835426980661762,91
546 target before updating,Source-specific-diet mean,MLR+RF,0.6862023002988511,1.792607462789386,39.92871953397915,-0.8491739403470011,5.833585753174833,84.83670375316032,0.9547205694800264,91
