architecture,AUBC_mean,allocation_q025,allocation_q975,allocation_SD,n_balanced_allocation_realizations,interval_label,fixed_elements,budget_grid,AUBC_scope
MLR,0.5879389978050494,0.5303114565990167,0.6602557480052859,0.03279504320318057,504,descriptive distribution across balanced outcome-record allocation robustness scenarios in fixed 546 dataset,architecture-specific response-surface-guided sampling using each model's own pre-update FN/UN predictions; fixed CG-HPP updater,3 / 6 / 9 / 12,AUBC integrates the prespecified four-budget performance–budget curve
RF,0.5771972146082609,0.5139476897652124,0.6517875518864198,0.036459651453055054,504,descriptive distribution across balanced outcome-record allocation robustness scenarios in fixed 546 dataset,architecture-specific response-surface-guided sampling using each model's own pre-update FN/UN predictions; fixed CG-HPP updater,3 / 6 / 9 / 12,AUBC integrates the prespecified four-budget performance–budget curve
TabM,0.5727079656163133,0.5129876686697782,0.645432061455101,0.03450835094671931,504,descriptive distribution across balanced outcome-record allocation robustness scenarios in fixed 546 dataset,architecture-specific response-surface-guided sampling using each model's own pre-update FN/UN predictions; fixed CG-HPP updater,3 / 6 / 9 / 12,AUBC integrates the prespecified four-budget performance–budget curve
MLR+RF,0.552041885659418,0.4964269028843896,0.6331373238775889,0.03785113026617127,504,descriptive distribution across balanced outcome-record allocation robustness scenarios in fixed 546 dataset,architecture-specific response-surface-guided sampling using each model's own pre-update FN/UN predictions; fixed CG-HPP updater,3 / 6 / 9 / 12,AUBC integrates the prespecified four-budget performance–budget curve
