Domain,Architecture,Endpoint,n,n_clusters,Calibration_intercept,Intercept_CI95_lower,Intercept_CI95_upper,Calibration_slope,Slope_CI95_lower,Slope_CI95_upper,CCC,CCC_CI95_lower,CCC_CI95_upper,n_bootstrap
Held-out 233,MLR+RF,FN,233,48,0.5032405272486329,-1.134829423753786,2.2930429510764774,0.8952179863123434,0.6309850377851804,1.1742694145377763,0.7338791536720081,0.5442914328249469,0.8452599776837435,10000
Held-out 233,MLR+RF,UN,233,48,-1.7911713287120938,-4.55519388988326,0.4031859071010932,1.091686909154291,0.8799929562471605,1.3194811819188448,0.8112586671031375,0.7193533907717309,0.8794485393748871,10000
546 target,MLR+RF,FN,91,91,-1.3839630197989448,-2.086144468157541,-0.7468208926950622,1.065071053416529,0.9165363950542972,1.220735432853957,0.8262438339320403,0.7312726802310857,0.8885620783416737,10000
546 target,MLR+RF,UN,91,91,2.2343327924298326,1.4675648520107591,3.1351772815710555,0.4546952916358067,0.3737673180179598,0.5154798296894689,0.5723233720432302,0.4425031985560992,0.6574054646120737,10000
SOW80 before updating,MLR+RF,FN,80,8,4.898977966708211,-4.667882131363153,7.589056344028036,0.318891454788567,0.0685849601578028,1.5007993572093028,0.3127117816581182,0.0714449124891636,0.5675084289974757,10000
SOW80 before updating,MLR+RF,UN,80,8,-7.390387267562958,-21.979749902537577,1.0983198099675973,1.1315693013666146,0.7803950372052236,1.593443651030254,0.6996504078042564,0.3015990950487295,0.8707755200604173,10000
