model,domain,endpoint,R2,RMSE_g_d,MAE_g_d,Bias_g_d
MLR,546 target before updating,UN,-0.7193836582676882,5.625136965258539,3.914336650768093,2.741770644377169
RF,546 target before updating,UN,-1.079583990906207,6.186356406660747,4.588294332945923,3.850541317452427
TabM,546 target before updating,UN,-0.8967674324401238,5.908180381382179,3.980384944010801,3.540292290981341
MLR+RF,546 target before updating,UN,-0.8491739403470011,5.833585753174833,4.104991311644047,3.332605296098003
