model,confirmation233_primary_nrmse,local546_primary_nrmse,delta_primary_546_minus_233
MLR,0.6125249086748505,1.006936177851844,0.3944112691769932
RF,0.6290957668663566,0.9754671899103392,0.3463714230439826
TabM,0.6080511521396819,0.9835426980661762,0.3754915459264944
MLR+RF,0.6098662476518748,0.9547205694800264,0.3448543218281516
