source_specific_diet_id,ingredient_class,PC1,PC2,measured_source_specific_diets,budget_display_label,sampling_strategy,selected_or_selection_frequency,value_semantics,main_figure_role
Barley::RealV6_大麦_sample8,Barley,-1.17343672248284,0.2886370288234412,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Barley::RealV6_大麦_sample8,Barley,-1.17343672248284,0.2886370288234412,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Barley::RealV6_大麦_sample8,Barley,-1.17343672248284,0.2886370288234412,3,3 measured sources,Random sampling,0.02182539682539682,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Barley::RealV6_大麦_sample9,Barley,-0.7246484066609943,-0.05431291206354182,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Barley::RealV6_大麦_sample9,Barley,-0.7246484066609943,-0.05431291206354182,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Barley::RealV6_大麦_sample9,Barley,-0.7246484066609943,-0.05431291206354182,3,3 measured sources,Random sampling,0.03968253968253968,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample1,Brown rice,-0.04182693366288238,-1.759633212384153,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample1,Brown rice,-0.04182693366288238,-1.759633212384153,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample1,Brown rice,-0.04182693366288238,-1.759633212384153,3,3 measured sources,Random sampling,0.03174603174603174,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample10,Brown rice,0.1887360288817009,-1.379389418420823,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
