Domain,Observation_ID,Study_or_target_group,Grain,PC1,PC2,PC1_explained_variance,PC2_explained_variance
Historical 906,V44_0af1ffb33304,Antongiovanni2007_IJAS,record,-1.460197432244075,-1.990911942945704,0.3581851925549009,0.2292279722724193
Historical 906,V44_d06f71a3aef3,Antongiovanni2007_IJAS,record,-1.375605698463106,-2.364858365172724,0.3581851925549009,0.2292279722724193
Historical 906,V44_ea5f4d136df5,Antongiovanni2007_IJAS,record,-1.236914483255733,-2.444670911271234,0.3581851925549009,0.2292279722724193
Historical 906,V44_c147ad2cb0cf,Deng2007_LivSci,record,-0.8598112723100501,1.024655684697154,0.3581851925549009,0.2292279722724193
Historical 906,V44_f41d1254fe6c,Deng2007_LivSci,record,-0.5512128008105193,0.7626080097951531,0.3581851925549009,0.2292279722724193
Historical 906,V44_b5b70d4e1167,Deng2007_LivSci,record,-0.2590365016998081,0.5376185470388615,0.3581851925549009,0.2292279722724193
Historical 906,V44_857bc6e1be7e,Deng2007_LivSci,record,0.08101162401547461,0.2680588447666223,0.3581851925549009,0.2292279722724193
Historical 906,V44_0210e134f840,Deng2007_LivSci,record,0.6069305306061176,-0.1760535259296842,0.3581851925549009,0.2292279722724193
Historical 906,V44_938a6c63f57e,GarciaValverde2007_LivSci,record,-5.403139296612641,2.875153622681904,0.3581851925549009,0.2292279722724193
Historical 906,V44_e624971cc339,GarciaValverde2007_LivSci,record,-5.382639536550197,2.913747769648948,0.3581851925549009,0.2292279722724193
Historical 906,V44_698ed1bda6d6,GarciaValverde2007_LivSci,record,-0.3900392087718818,-5.251743918658119,0.3581851925549009,0.2292279722724193
Historical 906,V44_27ae9ea96c00,GarciaValverde2007_LivSci,record,-4.208504087351528,-0.5104330914762546,0.3581851925549009,0.2292279722724193
Historical 906,V44_4a01b313d0d1,Htoo2007_LPHB,record,0.1011304773280722,0.586986965354641,0.3581851925549009,0.2292279722724193
Historical 906,V44_cbfa33914708,Htoo2007_LPHB,record,1.106482942601268,0.03345817437605003,0.3581851925549009,0.2292279722724193
Historical 906,V44_8b6c8f7e8935,Htoo2007_LPHB,record,0.2006433567131722,0.4512791451098552,0.3581851925549009,0.2292279722724193
Historical 906,V44_c7736de05ce3,Htoo2007_LPHB,record,1.048440179141522,-0.03227787072188028,0.3581851925549009,0.2292279722724193
Historical 906,V44_c16025c3ec6c,Li2007_LivSci,record,3.120677133082834,1.432417771782124,0.3581851925549009,0.2292279722724193
Historical 906,V44_129ef2062177,Li2007_LivSci,record,3.001782279582996,1.236366414932046,0.3581851925549009,0.2292279722724193
Historical 906,V44_be357172baca,Li2007_LivSci,record,4.234509418571988,0.3427736047370746,0.3581851925549009,0.2292279722724193
Historical 906,V44_d63fb338451a,Li2007_LivSci,record,3.103892075980194,1.442367808448379,0.3581851925549009,0.2292279722724193
Historical 906,V44_14b665d5f504,Liu2007_AJAS,record,2.895382539072911,-0.1877529322144682,0.3581851925549009,0.2292279722724193
Historical 906,V44_58fa123c75c8,Liu2007_AJAS,record,2.957793605768499,-0.2217021587848617,0.3581851925549009,0.2292279722724193
Historical 906,V44_7c6a1048c9ed,Liu2007_AJAS,record,2.939249258595507,-0.2102940429014059,0.3581851925549009,0.2292279722724193
Historical 906,V44_f85e307ec6ed,Liu2007_AJAS,record,2.988668442091719,-0.2387147558432353,0.3581851925549009,0.2292279722724193
Historical 906,V44_160e652d923d,Liu2007_AJAS,record,2.938111914733959,-0.2097587558517807,0.3581851925549009,0.2292279722724193
Historical 906,V44_4937ab380168,Liu2007_AJAS,record,2.972010961600152,-0.2279954625558599,0.3581851925549009,0.2292279722724193
