Comparison group,Measurement-selection strategy,Updating method / boundary,Budget,Realizations,Mean-NRMSE,2.5th percentile,97.5th percentile,"FN RMSE, g/d",FN R²,"UN RMSE, g/d",UN R²
Formal updating hierarchy,Response-surface-guided sampling,CG-HPP update,3,504,0.6266879536212611,0.566904324210467,0.7339040900287004,1.665218301126893,0.72164525053478,3.174314743046462,0.3989994912284386
Formal updating hierarchy,Response-surface-guided sampling,CG-HPP update,6,504,0.5488954198963575,0.4663370368344402,0.6503771389476886,1.656524411866928,0.7286563830246008,2.514827982538582,0.612469936909513
Formal updating hierarchy,Response-surface-guided sampling,CG-HPP update,9,504,0.5343905188064416,0.4419067266393437,0.642820186277186,1.506508107042077,0.7782159199768502,2.590795407333589,0.6134795659955865
Formal updating hierarchy,Response-surface-guided sampling,CG-HPP update,12,504,0.5189914829296485,0.4284930989280857,0.6217782445828729,1.238048161938861,0.8466857310758098,2.817829693216939,0.5239476133006495
Formal updating hierarchy,P2-PAM representative sampling (k-medoids),CG-HPP update,3,504,0.6525553711069432,0.5900108824586071,0.7631333341851086,1.54073902065255,0.7660531179903478,3.564353343971825,0.2985564983142129
Formal updating hierarchy,P2-PAM representative sampling (k-medoids),CG-HPP update,6,504,0.5879504887893684,0.5459373490541679,0.6456765230348188,1.400542419463657,0.8088240844958381,3.194928059887106,0.4526085442680902
Formal updating hierarchy,P2-PAM representative sampling (k-medoids),CG-HPP update,9,504,0.5428537133115015,0.450715400564079,0.6296908590073902,1.36471523087503,0.8222899935131973,2.853892046797195,0.5614782310521115
Formal updating hierarchy,P2-PAM representative sampling (k-medoids),CG-HPP update,12,504,0.4883614910804001,0.4210180556371282,0.5679677435305586,1.234515042844068,0.8565135221098309,2.55831116890209,0.6516736547801381
Formal updating hierarchy,Random sampling,CG-HPP update,3,504,0.7841502726208849,0.5821474003185736,1.09263514385664,1.701918151051632,0.7029113442670305,4.483594924733864,-0.1660787526406797
Formal updating hierarchy,Random sampling,CG-HPP update,6,504,0.6880159325486321,0.5279129316374335,1.014932808210353,1.635129686622062,0.7255671517477695,3.743746732275338,0.1823039880723714
Formal updating hierarchy,Random sampling,CG-HPP update,9,504,0.6214657937424755,0.4743403428242715,0.8529508148268654,1.547612658466605,0.7561368953326429,3.286918940148255,0.3828639474893527
Formal updating hierarchy,Random sampling,CG-HPP update,12,504,0.5781515061998108,0.434771034909169,0.79098558713315,1.466462805875487,0.7793681317200718,3.022018797134081,0.4792659998203813
