Endpoint,Ingredient class,n source-specific diets,RMSE g/d,MAE g/d,Bias g/d
FN,Barley,10,1.090947051522639,1.011625656499703,1.011625656499703
FN,Brown rice,10,3.826107873363119,3.676431875534861,3.676431875534861
FN,Cassava,10,0.6288327369413305,0.5146908654855723,0.1379970663996966
FN,Paddy rice,11,0.8363666834499833,0.7904201230223058,0.7904201230223058
FN,Rapeseed cake,10,2.358298563327908,1.839565603859073,-0.198949895770717
FN,Rice bran,10,0.989627972306453,0.8228483081747668,0.8032517979643305
FN,Sorghum,10,0.6065438949915062,0.4756170028552905,0.1972095861124473
FN,Wheat,10,2.121195783738544,2.000999894396797,2.000999894396797
FN,Wheat bran,10,0.916437348944906,0.8305608825514706,0.8305608825514706
UN,Barley,10,1.810225960624969,1.528851902101981,1.264026294116265
UN,Brown rice,10,4.706679919087282,3.613107816071659,3.406532434716726
UN,Cassava,10,3.989906337182217,3.150471916973381,-2.688295602790623
UN,Paddy rice,11,0.779318241228805,0.660164549133313,0.6099576255228183
UN,Rapeseed cake,10,12.49891693879027,12.29146274494888,12.29146274494888
UN,Rice bran,10,1.285793045463072,0.9888920051485712,0.4171554191665082
UN,Sorghum,10,8.620639137761145,8.442276942969357,8.442276942969357
UN,Wheat,10,5.80411013911375,5.720454440739428,5.720454440739428
UN,Wheat bran,10,1.335326851295991,0.8937221629609345,0.802142132550193
