Architecture,Method,Budget,n_realizations,Primary_mean,Primary_SD,Primary_q025,Primary_median,Primary_q975,FN_RMSE_mean,FN_MAE_mean,FN_Bias_mean,FN_R2_mean,UN_RMSE_mean,UN_MAE_mean,UN_Bias_mean,UN_R2_mean,Rank_method_within_arch_budget,Rank_overall_arch_method_within_budget
MLR,Affine,3,504,0.6512042050867144,0.049801410405976805,0.5830557563881379,0.6377643044571895,0.7728665026154047,1.7742889360492111,1.2321369189930789,0.08898541753732635,0.6854215304756724,3.239608631226024,2.419746470681337,-0.709611415006392,0.3713541901746124,3.0,10.0
MLR,Affine,6,504,0.6268362214432693,0.030527664702996244,0.5805481802416971,0.6224415944526471,0.6907035278725525,1.7125827666848668,1.118577847898727,-0.13640385459906887,0.7105911165522243,3.1120989714323795,2.272637921248581,-0.16201173821533993,0.4307430908539012,4.0,10.0
MLR,Affine,9,504,0.6345858899583691,0.0367629823042645,0.5828689337495313,0.6267678670740287,0.7189943431085372,1.675540012579028,1.0939007510661165,-0.4142122709175802,0.7147872067663876,3.228615926425781,2.4175121784254787,0.2591685130275318,0.36510334524809646,5.0,17.0
MLR,Affine,12,504,0.6764355979299423,0.05948956150788078,0.5843899828789819,0.6649983872554925,0.8023690450963994,1.6704468417291884,1.0639603725015825,-0.09732123193970238,0.7226292439079904,3.5964946468280674,2.771340262160451,1.7871765416319045,0.1262737200585194,5.0,20.0
MLR,Affine,15,504,0.5750650691903421,0.02757946758772987,0.5456390461019915,0.5663261484745137,0.6488143062479264,1.580237082118994,1.0051125677932453,0.031248009343703458,0.7348676011755547,2.8428698153074095,2.2165700766313226,0.8299094968550669,0.5039864896737674,5.0,14.0
MLR,Affine,18,504,0.5923440761580572,0.015073047769540552,0.5767536456203254,0.58762284189914,0.6314699515671829,1.601586253019996,1.0226339693622897,0.056843802093920294,0.7348921258512088,2.963321565313417,2.155773920192648,0.44277683589354566,0.5125556697194802,5.0,19.0
MLR,Affine,21,504,0.5925102645434378,0.010678295499736168,0.5803691859673216,0.589501519239044,0.6177529212210915,1.6341937961764557,1.01107311479937,0.07264820747969811,0.7280292746071423,2.9210429458142224,2.006085545414028,0.04282046083716561,0.533195888554063,5.0,18.0
MLR,CG-HPP,3,504,0.6493453831460411,0.048228645316296816,0.5863901001570855,0.6378499770583468,0.7607014273636845,1.822200035743459,1.2602230243888943,0.16241228633907456,0.668070567221951,3.1593442485518723,2.355981654511488,-0.8241462968496546,0.4022407659097682,2.0,9.0
MLR,CG-HPP,6,504,0.6054822881561321,0.05471140059746628,0.5312083051195714,0.5886592639091389,0.7125955674244014,1.7541503773361449,1.0860192032643992,-0.11260324891204543,0.6961168148133202,2.8721477641411286,2.075486022497331,-0.18331875667969832,0.5062906749014975,1.0,3.0
MLR,CG-HPP,9,504,0.5495383358262038,0.050362464887707896,0.464933519124753,0.5444119062496866,0.6599437342661726,1.445137427715564,0.8943985722451172,-0.34073738185524577,0.7874029326374176,2.8037516441448362,2.0868240451695126,0.16752965578467496,0.5146640366767967,1.0,4.0
MLR,CG-HPP,12,504,0.5682473557195837,0.06498403748300031,0.46610564709734814,0.5603098792562755,0.6992014945141337,1.5001785415892723,0.9088869389393619,0.030410014060832775,0.775873636148813,2.891374495828903,2.217123242816228,1.37032289271468,0.4255741449347773,3.0,6.0
MLR,CG-HPP,15,504,0.44012413771896947,0.03684433354015805,0.38306421449987366,0.43642514508959945,0.5252545577771762,1.2573347468177036,0.7944315503126804,0.0626040193569336,0.8317168031039638,2.1115606698568192,1.5910585059255173,0.45664568410694906,0.7222014776962653,1.0,1.0
MLR,CG-HPP,18,504,0.46400033231901383,0.037694911693127525,0.4032859106044569,0.45898069176718126,0.5380132263163249,1.2582748825956158,0.7750571749641018,0.02550362088585361,0.8359652522010939,2.3162880433769133,1.6661141257378267,0.27056177168348133,0.6970353486128232,1.0,3.0
MLR,CG-HPP,21,504,0.47542134838786415,0.03771199375998223,0.4109278274287518,0.4730765117143413,0.5523728973721843,1.3185323268872595,0.8400143959728494,-0.026428341763470482,0.8225322359696748,2.3340421140710284,1.645134869091752,0.12560416972699118,0.696806993898679,1.0,8.0
MLR,Mean,3,504,1.0966510419290971,0.13995484131996735,0.8761348910474411,1.1055839723078913,1.3593550049925431,1.7115753117068198,1.1486514088302893,-0.43910233998611575,0.7070742203805988,7.166694508966593,6.282767036114886,-5.22754380399495,-2.1239294807257885,8.0,32.0
MLR,Mean,6,504,0.8639231337566287,0.04295846412742778,0.8125469588554189,0.8530606469443952,0.9699779979035983,1.6665806411190502,1.0785106582643897,-0.29192452367258215,0.7261651985904984,5.219193362250498,4.54059961671992,-1.7377000356372685,-0.6015923503096072,7.0,28.0
MLR,Mean,9,504,0.8428701107730469,0.014601224433318832,0.8219873631891212,0.8412929177057873,0.8758658935480348,1.679993821616959,1.0987540003006353,-0.434879148170898,0.7133245845245956,5.019580919604939,4.153219971966886,-0.2803683445550125,-0.5215270417466791,6.0,25.0
MLR,Mean,12,504,0.8667591893519268,0.028131495627708572,0.8289577347123409,0.8611040983858564,0.9369375886087064,1.6737119680686778,1.0709224425954642,-0.11281607493274534,0.7216762413314922,5.234100960195001,3.944226304720324,1.7251641041145862,-0.8189515244026676,7.0,28.0
MLR,Mean,15,504,0.8048411916480368,0.013908124421848453,0.790414882505271,0.8006420690544951,0.8428915898443644,1.6158140359393929,1.0409886939635307,0.14964086702242532,0.72277413826692,4.777529966383655,4.04044938650697,-0.6160862942359043,-0.3923055471829426,7.0,25.0
MLR,Mean,18,504,0.8172794710973705,0.008655977221986499,0.8093870150033471,0.8145151356338097,0.8392108090492524,1.6324204413634347,1.0382950793197225,0.0942985392099738,0.7245988131446343,4.862577152050464,4.0138750886985735,-0.327343372285655,-0.31040591200304424,7.0,27.0
MLR,Mean,21,504,0.8290306049064038,0.006754761206326589,0.8227837950807521,0.826654865168529,0.8468072362593504,1.65717467500199,1.0195306219310691,0.06925326050328535,0.7203626724314531,4.930773453454648,4.0967437514034675,-0.3203028810561702,-0.32910426106546936,7.0,27.0
MLR,NoUpdate,3,504,0.9813743349539512,0.0,0.9813743349539512,0.9813743349539512,0.9813743349539512,2.2873973519548825,1.9476899916175336,1.6298149250486569,0.4782578027813761,5.400240716145079,3.776787213412842,2.5694340354542584,-0.7225974414778755,7.0,28.0
MLR,NoUpdate,6,504,0.9931402601537708,0.0,0.9931402601537708,0.9931402601537708,0.9931402601537708,2.2971835691544435,1.9541372421407068,1.6250430555752815,0.4800957222074384,5.488630157580806,3.849883676470172,2.6271970156538327,-0.7620572017643918,8.0,32.0
MLR,NoUpdate,9,504,1.0053483773700014,0.0,1.0053483773700014,1.0053483773700014,1.0053483773700014,2.25839520417744,1.9424150185048383,1.6012808007236048,0.4829334484782083,5.645951693753252,3.896977295403124,2.7140419070035966,-0.9245220618716838,8.0,32.0
MLR,NoUpdate,12,504,1.0242706686044978,0.0,1.0242706686044978,1.0242706686044978,1.0242706686044978,2.318969209799183,1.9835026630684136,1.6294139813208042,0.46584461082578527,5.7279973310367165,3.967891356404503,2.9692648119527187,-1.173879275680107,8.0,32.0
MLR,NoUpdate,15,504,0.9813389796614548,0.0,0.9813389796614548,0.9813389796614548,0.9813389796614548,2.3101880452105847,2.0021537576578994,1.668956903348599,0.4334378362524861,5.369383394001229,3.766737566540282,2.640217958514108,-0.7576052503098825,8.0,32.0
MLR,NoUpdate,18,504,0.9987556812023084,0.0,0.9987556812023084,0.9987556812023084,0.9987556812023084,2.321969946936013,2.009833160391421,1.66294328467215,0.442845866976443,5.503848581855546,3.850127167533864,2.6770214059030835,-0.6784716102508761,8.0,32.0
MLR,NoUpdate,21,504,1.009002150869727,0.0,1.009002150869727,1.009002150869727,1.009002150869727,2.339046351785498,1.990239996255307,1.6602723480214845,0.4429287474315034,5.569356250343945,3.8539829864042394,2.667854594902668,-0.6954522255788365,8.0,32.0
MLR,TargetOnlyElasticNet,3,504,0.7390461822680092,0.10541184880642722,0.6169996427054435,0.7032000463265489,0.9381830944339729,2.1024791838386614,1.620864142379579,0.40270787914733847,0.5552670824452343,3.557491041173125,2.8668249059537168,0.7295801110113915,0.22053193512497943,4.0,12.0
MLR,TargetOnlyElasticNet,6,504,0.6070391140248274,0.07356718738634141,0.49077290946363605,0.5982675160226687,0.750230908433843,1.6137961713538589,1.025833899210672,-0.31543330834793387,0.7407263403922205,3.0737322949441213,2.393627168748179,-0.5931202709505901,0.42890089972739476,3.0,5.0
MLR,TargetOnlyElasticNet,9,504,0.6300110847767023,0.10634662110460877,0.47756824639454565,0.6047363095596701,0.8702471010484619,1.6809341793505435,1.3077789548410044,-0.1427009112146853,0.7071481975299193,3.181916390606039,2.4644788267560065,0.07874956928914607,0.3520298274507889,4.0,16.0
MLR,TargetOnlyElasticNet,12,504,0.5621096855791992,0.08315830356981364,0.4322531150347032,0.5619916462172443,0.7404374068952145,1.4620936727908398,1.0401754890089845,0.037179452261187504,0.7858500225005538,2.88947788934502,2.2415100687645473,0.8025584708949454,0.4143458347169054,1.0,4.0
MLR,TargetOnlyElasticNet,15,504,0.5219054718998786,0.059150926790170436,0.43960999121909555,0.5088787489810094,0.6546011989549899,1.35710119764273,0.989588823266105,0.20984491121516238,0.8040683017649902,2.683371838553777,2.0967321397530334,0.5288350259660423,0.544228598227548,2.0,5.0
