Architecture,Method,Target_Y_labels,FN_RMSE,UN_RMSE,Composite_NRMSE,n_eval_diets,Information_layer
MLR,NoAdapt,0,2.2655936248852053,5.7001307669583285,1.0127468460048388,88,Unlabeled target-X adaptation
MLR,KMM,0,2.3635118883118142,8.247003201386274,1.3231719067372636,88,Unlabeled target-X adaptation
MLR,RuLSIF,0,1.6988948812504936,6.482811455686834,1.0154112643396842,88,Unlabeled target-X adaptation
MLR,TCA,0,2.2137992380291296,4.881201572087477,0.9097760255222256,88,Unlabeled target-X adaptation
MLR,CORAL,0,3.0054271563128827,7.372348746947944,1.3215342872786149,88,Unlabeled target-X adaptation
MLR,CG-HPP,3,1.822200035743459,3.1593442485518723,0.6493453831460411,88,Sparse labeled target updating
RF,NoAdapt,0,1.7333430510364634,5.804340762545296,0.9421219345942436,88,Unlabeled target-X adaptation
RF,KMM,0,2.2831675649699665,5.685911773224921,1.013829445136378,88,Unlabeled target-X adaptation
RF,RuLSIF,0,1.9251818395678912,5.073548198683837,0.8872241415460653,88,Unlabeled target-X adaptation
RF,TCA,0,2.5026894800298587,4.3200183272911135,0.8896181622982476,88,Unlabeled target-X adaptation
RF,CORAL,0,2.0337563238059846,6.73412575080135,1.0965738852066569,88,Unlabeled target-X adaptation
RF,CG-HPP,3,1.6750051064999218,3.3194045978500446,0.6450261598152481,88,Sparse labeled target updating
TabM,NoAdapt,0,1.7680910503663658,4.929238244987974,0.8460874442468205,88,Unlabeled target-X adaptation
TabM,KMM,0,1.9329993364629776,7.373702770927005,1.1550515957959686,88,Unlabeled target-X adaptation
TabM,RuLSIF,0,1.823717403527356,5.569656240959239,0.9289623226344176,88,Unlabeled target-X adaptation
TabM,TCA,0,2.160198777067712,4.728408702014856,0.8837369538799498,88,Unlabeled target-X adaptation
TabM,CORAL,0,2.1326217173745734,6.948671097703233,1.136804245260425,88,Unlabeled target-X adaptation
TabM,CG-HPP,3,1.9720442342603108,2.789488530249689,0.6297587177048677,88,Sparse labeled target updating
MLR+RF,NoAdapt,0,1.8374976439905624,5.662303201494548,0.9418423531745798,88,Unlabeled target-X adaptation
MLR+RF,KMM,0,2.0434113834481185,6.142868834817737,1.029541085499439,88,Unlabeled target-X adaptation
MLR+RF,RuLSIF,0,1.790392462463199,5.6132905463137455,0.9288417996962978,88,Unlabeled target-X adaptation
MLR+RF,TCA,0,2.332462614919484,4.400861471334216,0.8725379834541787,88,Unlabeled target-X adaptation
MLR+RF,CORAL,0,2.31002516536924,6.954516295603924,1.1650476744210927,88,Unlabeled target-X adaptation
MLR+RF,CG-HPP,3,1.6652183011268928,3.1743147430464624,0.6266879536212611,88,Sparse labeled target updating
