Architecture,Method,B3,B6,B9,B12,AUBC_3_12,Delta_AUBC_vs_CGHPP,Lower_AUBC_scenarios_vs_paired
MLR,Two-stage TrAdaBoost.R2,0.9325192708354882,0.7945254165521373,0.772895355646006,0.812875346556253,0.8133726936313379,0.2254336958262884,0
MLR,CG-HPP,0.6493453831460411,0.6054822881561321,0.5495383358262038,0.5682473557195837,0.5879389978050494,0.0,504
RF,Two-stage TrAdaBoost.R2,0.9325192708354882,0.8129180694780463,0.6382637905377789,0.7267681621859244,0.7602751921755107,0.1830779775672497,0
RF,CG-HPP,0.6450261598152481,0.6017604362243151,0.5575701070589131,0.4994960412678608,0.5771972146082609,0.0,504
TabM,Two-stage TrAdaBoost.R2,0.946093992555868,0.8762092320774154,0.7416904623152124,0.7655561072571345,0.8245749147663763,0.2518669491500629,0
TabM,CG-HPP,0.6297587177048677,0.6088197223415295,0.5554311481115115,0.4779873350869305,0.5727079656163133,0.0,504
MLR+RF,Two-stage TrAdaBoost.R2,0.9325192708354882,0.8235733585445628,0.722856096300159,0.7579006403497857,0.7972131368124529,0.2451712511530349,0
MLR+RF,CG-HPP,0.6266879536212611,0.5488954198963575,0.5343905188064416,0.5189914829296485,0.552041885659418,0.0,504
